family,importance,session,model
book shape,0.0013164750102341084,MSFT_2024-12-02,hawkes
timing,0.2806584780924169,INTC_2024-02-01,base
book shape,5.885180135667411e-07,INTC_2024-02-01,base
event mix,0.0,INTC_2024-02-01,base
order flow,0.0,INTC_2024-02-01,base
book shape,0.18002779481086878,INTC_2024-02-01,hawkes
event mix,0.011719024259379906,INTC_2024-02-01,hawkes
timing,0.010866717127198843,INTC_2024-02-01,hawkes
order flow,0.004053184762196715,INTC_2024-02-01,hawkes
timing,0.4679142619263496,INTC_2024-04-01,base
book shape,0.0,INTC_2024-04-01,base
event mix,0.0,INTC_2024-04-01,base
order flow,0.0,INTC_2024-04-01,base
book shape,0.13932960743054576,INTC_2024-04-01,hawkes
timing,0.04797481719933305,INTC_2024-04-01,hawkes
event mix,0.024437693346859135,INTC_2024-04-01,hawkes
order flow,0.0022634137522346887,INTC_2024-04-01,hawkes
timing,0.27355566267022136,INTC_2024-08-02,base
event mix,0.0007895014923872679,INTC_2024-08-02,base
book shape,1.5157735728354993e-06,INTC_2024-08-02,base
order flow,1.2775805827813791e-06,INTC_2024-08-02,base
event mix,0.06049562781924093,INTC_2024-08-02,hawkes
book shape,0.03249562097924752,INTC_2024-08-02,hawkes
timing,0.03190279780428601,INTC_2024-08-02,hawkes
order flow,0.0008579821677572097,INTC_2024-08-02,hawkes
timing,0.49928506215013524,INTC_2024-10-01,base
book shape,0.0,INTC_2024-10-01,base
event mix,0.0,INTC_2024-10-01,base
order flow,0.0,INTC_2024-10-01,base
book shape,0.09164702289377076,INTC_2024-10-01,hawkes
timing,0.023189947869387363,INTC_2024-10-01,hawkes
order flow,0.006558617468823335,INTC_2024-10-01,hawkes
event mix,0.00489856379899486,INTC_2024-10-01,hawkes
book shape,0.506376805423611,INTC_2024-12-02,base
event mix,0.0,INTC_2024-12-02,base
order flow,0.0,INTC_2024-12-02,base
timing,-1.1102230246251566e-17,INTC_2024-12-02,base
book shape,0.3010251759564103,INTC_2024-12-02,hawkes
event mix,0.002880941650774904,INTC_2024-12-02,hawkes
timing,0.002088758548066394,INTC_2024-12-02,hawkes
order flow,0.00023376986655359032,INTC_2024-12-02,hawkes
timing,0.31497903161542445,AAPL_2024-02-01,base
event mix,4.6930135588763024e-08,AAPL_2024-02-01,base
book shape,0.0,AAPL_2024-02-01,base
order flow,0.0,AAPL_2024-02-01,base
timing,0.1534716682795994,AAPL_2024-02-01,hawkes
event mix,0.061264358244893034,AAPL_2024-02-01,hawkes
book shape,0.0052230359721856965,AAPL_2024-02-01,hawkes
order flow,0.003960383760564223,AAPL_2024-02-01,hawkes
timing,0.2907382992748847,AAPL_2024-04-01,base
event mix,2.2204460492503132e-17,AAPL_2024-04-01,base
order flow,2.2204460492503132e-17,AAPL_2024-04-01,base
book shape,1.1102230246251566e-17,AAPL_2024-04-01,base
event mix,0.1021641541712911,AAPL_2024-04-01,hawkes
timing,0.08025005573419201,AAPL_2024-04-01,hawkes
book shape,0.007879012035580913,AAPL_2024-04-01,hawkes
order flow,0.0015325400550070256,AAPL_2024-04-01,hawkes
timing,0.28186731504386076,AAPL_2024-06-03,base
event mix,1.7158023434271642e-07,AAPL_2024-06-03,base
book shape,1.1102230246251566e-17,AAPL_2024-06-03,base
order flow,1.1102230246251566e-17,AAPL_2024-06-03,base
timing,0.09282657166903002,AAPL_2024-06-03,hawkes
book shape,0.050200117594161785,AAPL_2024-06-03,hawkes
event mix,0.013014145885933682,AAPL_2024-06-03,hawkes
order flow,0.0003939865573732271,AAPL_2024-06-03,hawkes
timing,0.28731511805968857,AAPL_2024-08-01,base
event mix,7.124266657720923e-07,AAPL_2024-08-01,base
book shape,0.0,AAPL_2024-08-01,base
order flow,0.0,AAPL_2024-08-01,base
timing,0.16314692821375654,AAPL_2024-08-01,hawkes
event mix,0.012952809499896268,AAPL_2024-08-01,hawkes
book shape,0.005706859210298854,AAPL_2024-08-01,hawkes
order flow,0.0009226168658959755,AAPL_2024-08-01,hawkes
timing,0.3292655403566629,AAPL_2024-10-01,base
event mix,1.1102230246251566e-17,AAPL_2024-10-01,base
book shape,0.0,AAPL_2024-10-01,base
order flow,0.0,AAPL_2024-10-01,base
timing,0.18894369819950813,AAPL_2024-10-01,hawkes
event mix,0.02878475507122862,AAPL_2024-10-01,hawkes
order flow,0.0005080130001963057,AAPL_2024-10-01,hawkes
book shape,0.00035239988408312104,AAPL_2024-10-01,hawkes
